Economy_Label,1951_Absolute_value_Value,1961_Absolute_value_Value,1971_Absolute_value_Value,1981_Absolute_value_Value,1991_Absolute_value_Value,2001_Absolute_value_Value,2011_Absolute_value_Value,2021_Absolute_value_Value
"Individual economies",,,,,,,,
"Afghanistan",7571537,8790140,11015857,11155195,10745167,19688632,29249157,40099462
"Albania",1289168,1769079,2389812,2992389,3302081,3153612,2900654,2854710
"Algeria",9271734,11598608,14110271,19351357,26133905,31200985,36543541,44177969
"American Samoa",19425,20626,27593,34059,48992,58324,54310,45035
"Andorra",5827,10216,21322,36987,55434,67820,70567,79034
"Angola",4569738,5441333,6177049,8631457,12228691,16941587,24259111,34503774
"Anguilla",5244,5795,6329,6571,8617,11344,13341,15753
"Antigua and Barbuda",46398,56245,64769,65076,63634,76215,86729,93219
"Argentina",17354612,20680653,24223379,28471285,33105763,37480493,41520740,45276780
"Armenia",,,,,,3133133,2928976,2790974
"Aruba",40231,55811,58816,62614,67864,90691,101288,106537
"Australia",8419830,10505938,12993834,14930052,17271086,19248143,22357034,25921089
"Austria",6930431,7085435,7498541,7566316,7755638,8039626,8391200,8922082
"Azerbaijan",,,,,,8282023,9359014,10312992
"Bahamas",82895,120216,184435,227956,276058,329626,377950,407906
"Bahrain",120354,166970,230992,377430,535415,730257,1212077,1463265
"Bangladesh",40548590,51882769,68376204,86154836,109242834,131670484,150211005,169356251
"Barbados",215430,233698,242350,254684,259402,265377,275486,281200
"Belarus",,,,,,10201209,9706981,9578167
"Belgium",8655405,9168469,9666395,9843592,9987070,10309255,10955743,11611419
"Belize",71220,93757,123091,148764,186462,248100,329538,400031
"Benin",2280678,2551216,3088381,3941569,5293046,7212041,9726380,12996895
"Bermuda",37541,42889,52539,53907,57874,61763,63533,64185
"Bhutan",179833,227071,308837,428641,567710,603234,713331,777486
"Bolivia (Plurinational State of)",3136895,3784744,4688267,5862990,7244891,8746084,10396246,12079472
"Bonaire, Sint Eustatius and Saba",,,,,,,20873,26706
"Bosnia and Herzegovina",,,,,,4194932,3743142,3270943
"Botswana",422885,524403,604139,982747,1380584,1761930,2134037,2588423
"Brazil",55591058,75330008,98766288,125168060,153336445,178211881,198185302,214326223
"British Virgin Islands",7364,7885,9813,11472,16090,20657,27962,31122
"Brunei Darussalam",51093,89561,138666,194099,269860,340748,401506,445373
"Bulgaria",7228734,7969342,8646260,8978412,8721660,8034860,7543130,6885868
"Burkina Faso",4261979,4852833,5707793,7123730,9365064,12249764,16602651,22100683
"Burundi",2303248,2815972,3582070,4490743,5594828,6465729,9455733,12551213
"Cabo Verde",187255,214788,293505,321634,372721,465958,527521,587925
"Cambodia",4485391,5664654,6696324,6364472,9259362,12338192,14573885,16589023
"Cameroon",4381975,5200355,6627350,8829048,11777719,15493253,20448873,27198628
"Canada",14085724,18273684,21888679,24815786,28015761,31002763,34323531,38155012
"Cayman Islands",7106,8626,11117,17904,27340,41054,55492,68136
"Central African Republic",1456939,1710364,2111224,2441010,2898052,3844773,4732022,5457154
"Chad",2560171,3087657,3742534,4409225,6042428,8538804,12317730,17179740
"Chile",6748673,8313535,9984378,11637613,13561945,15523978,17173573,19493184
"China",553613988,655260380,843285424,997259502,1170626171,1272739582,1357095481,1425893465
"China, Hong Kong SAR",2075503,3231758,4028605,5077742,5923447,6801542,7175364,7494578
"China, Macao SAR",200511,178672,249832,248695,362390,439122,571003,686607
"China, Taiwan Province of",7934689,11371850,15292065,18400556,20770620,22333125,23143071,23859912
"Colombia",12087058,16182414,21405413,26785982,33272628,39837875,45308899,51516562
"Comoros",165143,198617,249066,337986,442277,547741,670071,821625
"Congo",853253,1083431,1440159,1870540,2452675,3254101,4584216,5835806
"Congo, Dem. Rep. of the",12545791,15673284,20712952,27457783,37194812,50106657,68654269,95894118
"Cook Islands",15027,18014,20850,17559,17308,15294,17769,17003
