Economy_Label,Category_Label,2008_Index_Value,2009_Index_Value,2010_Index_Value,2011_Index_Value,2012_Index_Value,2013_Index_Value,2014_Index_Value,2015_Index_Value,2016_Index_Value,2017_Index_Value,2018_Index_Value,2019_Index_Value,2020_Index_Value,2021_Index_Value
"Afghanistan","ICT",0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.2,0.1,0.1
"Albania","ICT",0.2,0.3,0.3,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6
"Algeria","ICT",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4
"Angola","ICT",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3
"Argentina","ICT",0.6,0.5,0.4,0.4,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6
"Armenia","ICT",0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.6
"Australia","ICT",0.5,0.4,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8
"Austria","ICT",0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.9,0.8,0.8,0.8,0.8
"Azerbaijan","ICT",0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
"Bahamas","ICT",0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.7,0.8,0.8,0.8
"Bahrain","ICT",0.4,0.3,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7
"Bangladesh","ICT",0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.2
"Barbados","ICT",0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8
"Belarus","ICT",0.2,0.2,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.7
"Belgium","ICT",0.6,0.5,0.7,0.7,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
